FTSE Canada All Cap Index ETF (VCN)

Holding details
As of close  31 October 2018

Holding name,% of market value,Sector,Market Allocation,Market value,Shares
Royal Bank of Canada(RY),"=""7.06278%""",Banks,CA,"=""$ 109,401,844"""," 1,140,553"
Toronto-Dominion Bank(TD),"=""6.86740%""",Banks,CA,"=""$ 106,375,352"""," 1,456,598"
Bank of Nova Scotia(BNS),"=""4.44048%""",Banks,CA,"=""$ 68,782,579"""," 973,568"
Canadian National Railway Co.(CNR),"=""4.21654%""",Railroads,CA,"=""$ 65,313,827"""," 580,361"
Suncor Energy Inc.(SU),"=""3.67944%""",Integrated Oil & Gas,CA,"=""$ 56,994,132"""," 1,290,628"
Enbridge Inc.(ENB),"=""3.55940%""",Pipelines,CA,"=""$ 55,134,736"""," 1,344,094"
Bank of Montreal(BMO),"=""3.23858%""",Banks,CA,"=""$ 50,165,342"""," 509,655"
Canadian Imperial Bank of Commerce(CM),"=""2.57340%""",Banks,CA,"=""$ 39,861,778"""," 350,649"
Brookfield Asset Management Inc. Class A(BAM.A),"=""2.31729%""",Asset Managers,CA,"=""$ 35,894,630"""," 668,180"
TransCanada Corp.(TRP),"=""2.29517%""",Pipelines,CA,"=""$ 35,551,920"""," 716,195"
Canadian Natural Resources Ltd.(CNQ),"=""2.21594%""",Exploration & Production,CA,"=""$ 34,324,655"""," 950,295"
Nutrien Ltd.(NTR),"=""2.20273%""",Specialty Chemicals,CA,"=""$ 34,120,154"""," 489,599"
Manulife Financial Corp.(MFC),"=""2.09667%""",Life Insurance,CA,"=""$ 32,477,193"""," 1,566,676"
Canadian Pacific Railway Ltd.(CP),"=""1.97001%""",Railroads,CA,"=""$ 30,515,249"""," 113,032"
Sun Life Financial Inc.(SLF),"=""1.49387%""",Life Insurance,CA,"=""$ 23,139,884"""," 479,981"
Alimentation Couche-Tard Inc. Class B(ATD.B),"=""1.36492%""",Food Retailers & Wholesalers,CA,"=""$ 21,142,427"""," 336,288"
Waste Connections Inc.(WCN),"=""1.34481%""",Waste & Disposal Services,CA,"=""$ 20,830,970"""," 206,985"
Rogers Communications Inc. Class B(RCI.B),"=""1.23895%""",Mobile Telecommunications,CA,"=""$ 19,191,146"""," 283,097"
Pembina Pipeline Corp.(PPL),"=""1.08903%""",Pipelines,CA,"=""$ 16,868,919"""," 396,170"
Magna International Inc.(MG),"=""1.07754%""",Auto Parts,CA,"=""$ 16,690,973"""," 257,537"
CGI Group Inc. Class A(GIB.A),"=""1.03940%""",Computer Services,CA,"=""$ 16,100,246"""," 198,035"
National Bank of Canada(NA),"=""1.03826%""",Banks,CA,"=""$ 16,082,551"""," 269,119"
Barrick Gold Corp.(ABX),"=""0.97628%""",Gold Mining,CA,"=""$ 15,122,451"""," 917,068"
Fortis Inc./Canada(FTS),"=""0.92775%""",Conventional Electricity,CA,"=""$ 14,370,704"""," 330,361"
Constellation Software Inc./Canada(CSU),"=""0.91970%""",Software,CA,"=""$ 14,246,101"""," 15,724"
Fairfax Financial Holdings Ltd.(FFH),"=""0.87787%""",Property & Casualty Insurance,CA,"=""$ 13,598,103"""," 21,257"
Thomson Reuters Corp.(TRI),"=""0.87392%""",Publishing,CA,"=""$ 13,536,994"""," 220,940"
Restaurant Brands International Inc.(QSR),"=""0.85933%""",Restaurants & Bars,CA,"=""$ 13,310,972"""," 184,567"
BCE Inc.(BCE),"=""0.77799%""",Fixed Line Telecommunications,CA,"=""$ 12,050,949"""," 236,525"
Franco-Nevada Corp.(FNV),"=""0.76540%""",Gold Mining,CA,"=""$ 11,856,042"""," 144,199"
Intact Financial Corp.(IFC),"=""0.73480%""",Property & Casualty Insurance,CA,"=""$ 11,381,918"""," 109,431"
Teck Resources Ltd. Class B(TECK.B),"=""0.70028%""",Nonferrous Metals,CA,"=""$ 10,847,294"""," 398,651"
Encana Corp.(ECA),"=""0.65984%""",Exploration & Production,CA,"=""$ 10,220,932"""," 760,486"
Loblaw Cos. Ltd.(L),"=""0.62720%""",Food Retailers & Wholesalers,CA,"=""$ 9,715,219"""," 147,558"
Dollarama Inc.(DOL),"=""0.60299%""",Specialty Retailers,CA,"=""$ 9,340,330"""," 256,532"
Cenovus Energy Inc.(CVE),"=""0.57908%""",Exploration & Production,CA,"=""$ 8,969,850"""," 805,193"
Open Text Corp.(OTEX),"=""0.57693%""",Software,CA,"=""$ 8,936,573"""," 201,093"
Agnico Eagle Mines Ltd.(AEM),"=""0.55220%""",Gold Mining,CA,"=""$ 8,553,582"""," 183,948"
Shaw Communications Inc. Class B(SJR.B),"=""0.54823%""",Broadcasting & Entertainment,CA,"=""$ 8,491,980"""," 346,470"
Power Corp. of Canada(POW),"=""0.53419%""",Life Insurance,CA,"=""$ 8,274,516"""," 304,434"
Bausch Health Cos. Inc.(BHC),"=""0.52529%""",Pharmaceuticals,CA,"=""$ 8,136,617"""," 270,140"
Goldcorp Inc.(G),"=""0.52256%""",Gold Mining,CA,"=""$ 8,094,391"""," 680,773"
Imperial Oil Ltd.(IMO),"=""0.51164%""",Integrated Oil & Gas,CA,"=""$ 7,925,181"""," 192,733"
Metro Inc.(MRU),"=""0.50487%""",Food Retailers & Wholesalers,CA,"=""$ 7,820,313"""," 189,308"
Wheaton Precious Metals Corp.(WPM),"=""0.48808%""",Platinum & Precious Metals,CA,"=""$ 7,560,388"""," 349,371"
Canadian Tire Corp. Ltd. Class A(CTC.A),"=""0.45823%""",Specialty Retailers,CA,"=""$ 7,097,980"""," 47,914"
