FTSE Canada Index ETF (VCE)

Holding details
As of close  31 October 2018

Holding name,% of market value,Sector,Market Allocation,Market value,Shares
Royal Bank of Canada(RY),"=""8.91517%""",Banks,CA,"=""$ 48,552,210"""," 506,174"
Toronto-Dominion Bank(TD),"=""8.66849%""",Banks,CA,"=""$ 47,208,783"""," 646,430"
Bank of Nova Scotia(BNS),"=""5.60511%""",Banks,CA,"=""$ 30,525,534"""," 432,067"
Canadian National Railway Co.(CNR),"=""5.32242%""",Railroads,CA,"=""$ 28,986,027"""," 257,562"
Suncor Energy Inc.(SU),"=""4.64446%""",Integrated Oil & Gas,CA,"=""$ 25,293,832"""," 572,777"
Enbridge Inc.(ENB),"=""4.49294%""",Pipelines,CA,"=""$ 24,468,635"""," 596,505"
Bank of Montreal(BMO),"=""4.08794%""",Banks,CA,"=""$ 22,262,996"""," 226,181"
Canadian Imperial Bank of Commerce(CM),"=""3.24836%""",Banks,CA,"=""$ 17,690,654"""," 155,618"
Brookfield Asset Management Inc. Class A(BAM.A),"=""2.92503%""",Asset Managers,CA,"=""$ 15,929,753"""," 296,533"
TransCanada Corp.(TRP),"=""2.89711%""",Pipelines,CA,"=""$ 15,777,727"""," 317,843"
Canadian Natural Resources Ltd.(CNQ),"=""2.79711%""",Exploration & Production,CA,"=""$ 15,233,104"""," 421,736"
Nutrien Ltd.(NTR),"=""2.78044%""",Specialty Chemicals,CA,"=""$ 15,142,313"""," 217,281"
Manulife Financial Corp.(MFC),"=""2.64657%""",Life Insurance,CA,"=""$ 14,413,300"""," 695,287"
Canadian Pacific Railway Ltd.(CP),"=""2.48658%""",Railroads,CA,"=""$ 13,541,965"""," 50,161"
Sun Life Financial Inc.(SLF),"=""1.88569%""",Life Insurance,CA,"=""$ 10,269,501"""," 213,016"
Alimentation Couche-Tard Inc. Class B(ATD.B),"=""1.72289%""",Food Retailers & Wholesalers,CA,"=""$ 9,382,907"""," 149,243"
Waste Connections Inc.(WCN),"=""1.69748%""",Waste & Disposal Services,CA,"=""$ 9,244,488"""," 91,857"
Rogers Communications Inc. Class B(RCI.B),"=""1.56387%""",Mobile Telecommunications,CA,"=""$ 8,516,864"""," 125,636"
Pembina Pipeline Corp.(PPL),"=""1.37467%""",Pipelines,CA,"=""$ 7,486,458"""," 175,821"
Magna International Inc.(MG),"=""1.36016%""",Auto Parts,CA,"=""$ 7,407,459"""," 114,295"
CGI Group Inc. Class A(GIB.A),"=""1.31202%""",Computer Services,CA,"=""$ 7,145,294"""," 87,888"
National Bank of Canada(NA),"=""1.31058%""",Banks,CA,"=""$ 7,137,436"""," 119,435"
Barrick Gold Corp.(ABX),"=""1.18551%""",Gold Mining,CA,"=""$ 6,456,313"""," 391,529"
Fortis Inc./Canada(FTS),"=""1.17106%""",Conventional Electricity,CA,"=""$ 6,377,622"""," 146,612"
Constellation Software Inc./Canada(CSU),"=""1.16137%""",Software,CA,"=""$ 6,324,856"""," 6,981"
Fairfax Financial Holdings Ltd.(FFH),"=""1.10802%""",Property & Casualty Insurance,CA,"=""$ 6,034,290"""," 9,433"
Thomson Reuters Corp.(TRI),"=""1.10314%""",Publishing,CA,"=""$ 6,007,707"""," 98,053"
Restaurant Brands International Inc.(QSR),"=""1.08470%""",Restaurants & Bars,CA,"=""$ 5,907,277"""," 81,909"
BCE Inc.(BCE),"=""0.98202%""",Fixed Line Telecommunications,CA,"=""$ 5,348,120"""," 104,968"
Franco-Nevada Corp.(FNV),"=""0.96613%""",Gold Mining,CA,"=""$ 5,261,587"""," 63,994"
Intact Financial Corp.(IFC),"=""0.92757%""",Property & Casualty Insurance,CA,"=""$ 5,051,558"""," 48,568"
Teck Resources Ltd. Class B(TECK.B),"=""0.88395%""",Nonferrous Metals,CA,"=""$ 4,813,993"""," 176,920"
Encana Corp.(ECA),"=""0.83290%""",Exploration & Production,CA,"=""$ 4,535,973"""," 337,498"
Loblaw Cos. Ltd.(L),"=""0.79172%""",Food Retailers & Wholesalers,CA,"=""$ 4,311,730"""," 65,488"
Dollarama Inc.(DOL),"=""0.76113%""",Specialty Retailers,CA,"=""$ 4,145,133"""," 113,846"
Cenovus Energy Inc.(CVE),"=""0.73095%""",Exploration & Production,CA,"=""$ 3,980,790"""," 357,342"
Agnico Eagle Mines Ltd.(AEM),"=""0.69702%""",Gold Mining,CA,"=""$ 3,795,981"""," 81,634"
